,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,PAINS_match,Brenk_match
173,CHEMBL4110390,0.4,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2c(F)cnc(N)c12,9.397940009,601.186078728,8,2,4.799800000000003,True,0,0.0
179,CHEMBL4111935,0.4,nM,COC(=O)c1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,9.397940009,525.2124523440001,9,2,3.280800000000001,True,0,0.0
183,CHEMBL4115636,0.41,nM,Cn1nc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)cc2)cc1C(F)(F)F,9.387216143,538.2052567000001,8,2,3.8515000000000015,True,0,0.0
184,CHEMBL4787427,0.41,nM,CC1(C(=O)N2CCC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)c(F)c4F)c4c(N)nccn34)C2)COC1,9.387216143,615.2017287920002,8,2,4.665300000000003,True,0,0.0
185,CHEMBL4764215,0.41,nM,CCOc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCN(C(=O)C5(C)COC5)C4)n4ccnc(N)c34)c(F)c2)c1,9.387216143,573.249980724,9,2,3.906100000000002,True,0,0.0
186,CHEMBL4106497,0.41,nM,Cc1cc(-c2nc([C@@H]3CC[C@H]4CCC(=O)N4C3)n3ccnc(N)c23)ccc1C(=O)Nc1cc(C(F)(F)F)ccn1,9.387216143,549.2100077320001,7,2,4.8214200000000025,True,0,0.0
190,CHEMBL3652658,0.43,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5cnccn5)n4)c3CO)ncc2c1,9.366531544,528.2033648800001,10,3,3.1328000000000005,True,0,0.0
197,CHEMBL4113154,0.45,nM,CC(C)(C(=O)O)N1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.346787486,636.242036132,9,3,3.8980000000000015,True,0,0.0
198,CHEMBL4110290,0.45,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)c(F)c3)c12,9.346787486,553.184935856,7,2,4.652100000000004,True,0,0.0
199,CHEMBL4112398,0.45,nM,Nc1ncnc2c1c(-c1ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc1)nn2[C@@H]1CCCc2nn(CCO)cc21,9.346787486,563.2005056680001,10,3,3.8561000000000014,True,0,0.0
