,IDs,IC50,units,smiles,pIC50
121,CHEMBL3952977,0.3,nM,[C-]#[N+]/C(=C/C(C)(C)N1CCN(C)CC1)C(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1,9.522878745
122,CHEMBL5084997,0.3,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3nc(C(C)(C)C)no3)n2)cn1,9.522878745
123,CHEMBL4097019,0.3,nM,CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C23CCC(C(=O)O)(CC2)CC3)n2ccnc(N)c12,9.522878745
124,CHEMBL5089878,0.3,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3cnc(C(C)(C)C)s3)n2)cn1,9.522878745
125,CHEMBL3702830,0.3,nM,[C-]#[N+]/C(=C\C(C)(C)N1CCN(C)CC1)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1,9.522878745
126,CHEMBL4878102,0.3,nM,CC(C)(C)c1noc(C(=O)NCc2ccc(-c3ccnc4[nH]c(-c5cnn(CCN6CCOCC6)c5)nc34)cc2F)n1,9.522878745
127,CHEMBL4279430,0.3,nM,C=CC(=O)N1CCN(c2ccc(C(N)=O)c(Nc3ccc(CCN4CCCC4)cc3)n2)CC1,9.522878745
128,CHEMBL4110169,0.3,nM,Nc1nccn2c([C@@H]3CC[C@H]4COCCN4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.522878745
129,CHEMBL4112027,0.31,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)F)ccn4)cc3)c12,9.508638306
130,CHEMBL4746292,0.31,nM,COC[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)CN1C(=O)C1(C)COC1,9.508638306
131,CHEMBL4756290,0.32,nM,C[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CN1C(=O)C(C)(C)O,9.494850022
132,CHEMBL4799627,0.32,nM,CC1(C(=O)N2CCC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)C2)COC1,9.494850022
133,CHEMBL3894938,0.32,nM,C=CC(=O)NCCn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,9.494850022
134,CHEMBL3948065,0.32,nM,C=CC(=O)Nc1ccc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2c1,9.494850022
135,CHEMBL3916236,0.33,nM,Cn1ncc2c1CCC[C@@]2(O)c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c2c(N)nccn12,9.48148606
